Question	Answer	Statement	RemarkQ	RemarkA
Robert Hooke	Published "Micrographia"	위 인물의 업적은?
Robert Hooke	Coined the word "Cell"	위 인물의 업적은?
Carl Linnaeus	Binomial nomenclature	위 인물의 업적은?
Edward Jenner	First vaccine development	위 인물의 업적은?
Louis Pasteur	Study on microbial fermentation	위 인물의 업적은?
Louis Pasteur	Disproved the idea of spontaneous generation	위 인물의 업적은?
Louis Pasteur	Developed pasteurization	위 인물의 업적은?
Louis Pasteur	Showed a silkworm disease was caused by a protozoan	위 인물의 업적은?
Louis Pasteur	Developed anthrax vaccine	위 인물의 업적은?
Louis Pasteur	Developed rabies vaccine	위 인물의 업적은?
Robert Koch	Establishment of four generalized medical principles to ascertain the relationship of pathogens with specific diseases	위 인물의 업적은?
Robert Koch	Discovery of B. anthracis	위 인물의 업적은?
Robert Koch	Discovery of V. cholerae	위 인물의 업적은?
Robert Koch	Discovery of M. tuberculosis	위 인물의 업적은?
Agonisto Bassi	Showed a silkworm disease was caused by a fungus	위 인물의 업적은?
Ignaz Semmelweis	Advocated hand washing to prevent transmission of puerperal fever	위 인물의 업적은?
Joseph Lister	Used a chemical disinfectant to prevent surgical wound infections	위 인물의 업적은?
Paul Ehrlich	Developed salvarsan to treat syphilis	위 인물의 업적은?
Alexander Fleming	Discovery of penicillin	위 인물의 업적은?
Florey	Further research and clinical test on penicillin	위 인물의 업적은?
Chain	Further research and clinical test on penicillin	위 인물의 업적은?
Waksman	Discovery of streptomycin	위 인물의 업적은?
Elie Metchnikoff	Discovery of phagocytes	위 인물의 업적은?
Elie Metchnikoff	Published "The Prolongation of Life: Optimistic Studies"	위 인물의 업적은?
Elie Metchnikoff	Advocated the use of lactic acid bacteria for long healthy life	위 인물의 업적은?
