Question	Answer	Statement	RemarkQ	RemarkA
내열성이 적은 침습적인 시술 도구	High level
혈액으로 오염된 기구 표면 소독	High level	
C. difficile, P. aeruginosa 등에 오염된 욕조,싱크대	High level		병원내 감염이 우려되기 때문에 예외적인 경우
Plastic surgical instrument	High level	
Moist heat (75~100℃, 30min)	High level	
Glutaraldehyde	High level	
Hydrogen peroxide	High level	
Peracetic acid	High level	
Chlorine compounds	High level	
아포나 항균제 저항성있는 microbe의 오염 가능성이 적은 기구나 표면 소독	Intermediate level	
후두경	Intermediate level	
굴절성 광섬유내시경	Intermediate level	
질경	Intermediate level	
호흡 마취기	Intermediate level	
Alcohol	Intermediate level		ethanol, isopropanol
Iodophor	Intermediate level	
Phenolic compounds	Intermediate level	
감염을 초래할 가능성이 적은 도구 및 기기	Low level	
혈압 측정띠	Low level	
심전도의 전극	Low level	
청진기	Low level	
Quaternary ammonium compounds	Low level	
Triclosan	Low level	
