Question	Answer	Statement	RemarkQ	RemarkA
Membrane disruption	Alcohol	기전		ethanol, isopropanol
단백질 변성	Alcohol	기전		ethanol, isopropanol
독성이 없고 신속하며 잔류효과 없음	Alcohol	특징		ethanol, isopropanol
유기물에 의해 불활성화 	Alcohol	특징		ethanol, isopropanol
손이 건조해짐	Alcohol	특징		ethanol, isopropanol
단백질 침전	Iodophor	기전
효소 산화	Iodophor	기전
과민반응	Iodophor	특징
접촉성 피부염 유발	Iodophor	특징
Slightly more toxic to skin than alcohol	Iodophor	특징
유기물에 의해 불활성화 	Iodophor	특징
활성화 위해 건조시간 2분 필요	Iodophor	특징
주로 알코올과 함께 사용됨	Iodophor	특징
주사	Iodophor	사용	포비돈
카테터 삽입 부위	Iodophor	사용	포비돈
수술전 피부 세척	Iodophor	사용	포비돈
Membrane disruption	Chlorhexidine	기전
Slower killing of microbes than alcohol	Chlorhexidine	특징
잔존 지속 효과 우수	Chlorhexidine	특징
구강청정제	Chlorhexidine	사용
치약용 소독제	Chlorhexidine	사용
세균 지질 합성 억제	Triclosan	기전
비누	Triclosan	사용
치약용 소독제	Triclosan	사용
