Question	Answer	Statement	RemarkQ	RemarkA
Oral polio	Attenuated
Measles	Attenuated
Mumps	Attenuated
Rubella	Attenuated
TB	Attenuated
Cholera	Attenuated
Cholera	Inactivated
Pertussis	Acellular
Salk polio	Inactivated
Hepatitis A	Inactivated
Diphtheria	Toxoid
Tetanus	Toxoid
H. influenzae B	Capsule polysaccharide-protein conjugate
N. meningitidis	Capsule polysaccharide-protein conjugate
N. meningitidis	Capsule polysaccharide
S. pneumoniae	Capsule polysaccharide-protein conjugate
S. pneumoniae	Capsule polysaccharide
Varicella zoster	Attenuated
Rotavirus	Attenuated		Human-bovine hybrids
HPV	VLP
Hepatitis B	VLP
Yellow fever	Attenuated
Rabies	Inactivated
Influenza	Inactivated
Influenza	Attenuated		Nasal spray
Influenza	Recombinant		Recombinant HA
Japanese encephalitis	Inactivated
