Question	Answer	Statement	RemarkQ	RemarkA
Diphtheria antitoxin	von Behring	위 업적으로 노벨상을 받은 인물은?
Work for malaria	Ross	위 업적으로 노벨상을 받은 인물은?
Discoveries of tuberculosis bacterium	Koch	위 업적으로 노벨상을 받은 인물은?
Phagocytosis	Metchnikoff	위 업적으로 노벨상을 받은 인물은?
Salvarsan	Paul Ehrlich	위 업적으로 노벨상을 받은 인물은?
Work for typhus	Nicolle	위 업적으로 노벨상을 받은 인물은?
Discovery of penicillin and its curative effect	Fleming	위 업적으로 노벨상을 받은 인물은?
Discovery of penicillin and its curative effect	Chain	위 업적으로 노벨상을 받은 인물은?
Discovery of penicillin and its curative effect	Florey	위 업적으로 노벨상을 받은 인물은?
Discovery of streptomycin (against TB)	Waksman	위 업적으로 노벨상을 받은 인물은?
Viral replication and structure	Delbruck	위 업적으로 노벨상을 받은 인물은?
Viral replication and structure	Hershey	위 업적으로 노벨상을 받은 인물은?
Viral replication and structure	Luria	위 업적으로 노벨상을 받은 인물은?
Discovery of reverse transcriptase	Baltimore	위 업적으로 노벨상을 받은 인물은?
Discovery of reverse transcriptase	Dulbecco	위 업적으로 노벨상을 받은 인물은?
Discovery of reverse transcriptase	Temin	위 업적으로 노벨상을 받은 인물은?
Discovery of HBV	Blumberg	위 업적으로 노벨상을 받은 인물은?
Discovery of infectious agent of kuru	Gajdusek	위 업적으로 노벨상을 받은 인물은?
Discovery of prions	Prusiner	위 업적으로 노벨상을 받은 인물은?
Discovery of H. pylori	Marshall	위 업적으로 노벨상을 받은 인물은?
Discovery of H. pylori	Warren	위 업적으로 노벨상을 받은 인물은?
Discovery of HPV causing cervical cancer	Hausen	위 업적으로 노벨상을 받은 인물은?
Discovery of HIV	Barre-Sinoussi	위 업적으로 노벨상을 받은 인물은?
Discovery of HIV	Montagnier	위 업적으로 노벨상을 받은 인물은?
Discovery of HCV	Alter	위 업적으로 노벨상을 받은 인물은?
Discovery of HCV	Houghton	위 업적으로 노벨상을 받은 인물은?
Discovery of HCV	Rice	위 업적으로 노벨상을 받은 인물은?
