Answer	Question	Statement	RemarkQ	RemarkA
Pox	dsDNA & Enveloped			
Herpes	dsDNA & Enveloped			
Hepadna	dsDNA & Enveloped			
Polyoma	dsDNA & Naked capsid			
Papilloma	dsDNA & Naked capsid			
Adeno	dsDNA & Naked capsid			
Parvo	ssDNA & Naked capsid			
Picorna	+RNA & Naked capsid
Calici	+RNA & Naked capsid
Hepe	+RNA & Naked capsid
Astro	+RNA & Naked capsid
Toga	+RNA & Enveloped
Flavi	+RNA & Enveloped
Corona	+RNA & Enveloped
Rhabdo	-RNA & Enveloped
Filo	-RNA & Enveloped
Orthomyxo	-RNA & Enveloped
Paramyxo	-RNA & Enveloped
Bunya	-RNA & Enveloped
Arena	-RNA & Enveloped
Reo	dsRNA & Double capsid			
Retro	+RNA via DNA & Enveloped
