Question	Answer	Statement	RemarkQ	RemarkA
Human herpes virus 1	Herpes simplex virus type 1 | HSV-1	주관식	
Human herpes virus 2	Herpes simplex virus type 2 | HSV-2	주관식	
Human herpes virus 3	Varicella-zoster virus	주관식	
Human herpes virus 4	Epstein-Barr virus	주관식	
Human herpes virus 5	Cytomegalovirus	주관식	
Human herpes virus 6	Human herpes virus 6	주관식	
Human herpes virus 7	Human herpes virus 7	주관식	
Human herpes virus 8	Human herpes virus 8	주관식	
HIV receptor	CD4	주관식	HIV의 target cell은 Helper T cell이다
HIV receptor	CCR5	주관식	HIV의 target cell은 Helper T cell이다
HIV receptor	CXCR4	주관식	HIV의 target cell은 Helper T cell이다
HIV chemokine coreceptor	CCR5	주관식	HIV의 target cell은 Helper T cell이다
HIV chemokine coreceptor	CXCR4	주관식	HIV의 target cell은 Helper T cell이다
