Question	Answer	Statement	RemarkQ	RemarkA
Epstein-Barr virus | Human herpes virus 4	C3d receptor | CR2 | CD21	Receptor	Target cell: B cell	
Human immunodeficiency virus | HIV	CD4	Receptor	Taget cell: Helper T cell	
Human immunodeficiency virus | HIV	Chemokine coreceptor	Receptor	Taget cell: Helper T cell	CCR5, CXCR4
Rhinovirus	ICAM-1	Receptor	Target cell: Epithelial cells
Poliovirus	CD155	Receptor	Target cell: Epithelial cells	
Herpes simplex virus | HSV	Herpesvirus entry mediator | HVEA	Receptor	Target cell: Many cells	
Herpes simplex virus | HSV	Nectin-1	Receptor	Target cell: Many cells	
Rabies virus	Acetylcholine receptor	Receptor	Target cell: Neuron	
Rabies virus	NCAM	Receptor	Target cell: Neuron	Immunoglobulin superfamily protein의 일종
Influenza A virus	Sialic acid	Receptor	Target cell: Many cells	
B19 paravovirus	Erythrocyte P antigen | Globoside	Receptor	Target cell: Erythroid precursors
