Answer	Question	Statement	RemarkA	RemarkQ
Common name: conjugation fungi (접합균류)	Glomeromycota
Somatic cell: mostly hyphae w/ no septum	Glomeromycota		Some are dimorphic
Cell wall: chitin + chitosan + polyglucosamine	Glomeromycota
Asexual reproduction: sporangiospore (포자낭포자)	Glomeromycota
Sexual reproduction: zygospore (접합포자)	Glomeromycota
Commone name: club fungi (담자균류)	Basidiomycota
Somatic cell: dolipore system, clamp connections	Basidiomycota		Some are in yeast form
Cell wall: chitin + glucan	Basidiomycota
Asexual reproduction: conidia (분생자포자)	Basidiomycota
Sexual reproduction: basidiospore (담자포자)	Basidiomycota
Common name: sac fungi (자낭균류)	Ascomycota
Somatic cell: hyphae w/ septum or yeast form	Ascomycota
Cell wall: chitin + glucan	Ascomycota
Morphology: Woronin body	Ascomycota
Asexual reproduction: conidia (분생자포자)	Ascomycota
Sexual reproduction: ascospore (자낭포자)	Ascomycota
Sexual reproduction: endogenous spore	Ascomycota
Sexual reproduction: formation of ascus by fusion of spermatium and trichogyne	Ascomycota
