kname,sname,족보,장내 선충,조직내 선충,사상충,주혈흡충,"폐흡충, 장흡충",간흡충,장내 조충,조직내 조충,장관내 원충,열원충,세포내 원충,조직내 원충,의용곤충
회충,Ascaris lumbricoides,1,1,,,,,,,,,,,,
두비니구충,Ancylostoma duodenale,1,1,,,,,,,,,,,,
아메리카구충,Necator americanus,1,1,,,,,,,,,,,,
분선충,Strongyloides stercoralis,1,1,,,,,,,,,,,,
요충,Enterobius vermicularis,1,1,,,,,,,,,,,,
편충,Trichuris trichiura,1,1,,,,,,,,,,,,
개회충,Toxocara canis,1,,1,,,,,,,,,,,
고양이회충,Toxocara cati,1,,1,,,,,,,,,,,
고래회충,Anisakis simplex,1,,1,,,,,,,,,,,
바다표범회충,Anisakis pegreffii,,,1,,,,,,,,,,,
향유고래회충,Anisakis physeteris,,,1,,,,,,,,,,,
물개회충,Pseudoterranova decipiens,,,1,,,,,,,,,,,
개구충,Ancylostoma caninum,,,1,,,,,,,,,,,
브라질구충,Ancylostoma braziliense,,,1,,,,,,,,,,,
유극악구충,Gnathostoma spinigerum,1,,1,,,,,,,,,,,
협두구충,Uncinaria stenocephala,,,1,,,,,,,,,,,
소구충,Bunostomum phlebotomus,,,1,,,,,,,,,,,
선모충,Trichinella spiralis,1,,1,,,,,,,,,,,
반크롭트사상충,Wuchereria bancrofti,1,,,1,,,,,,,,,,
말레이사상충,Brugia malayi,1,,,1,,,,,,,,,,
티모르사상충,Brugia timori,,,,1,,,,,,,,,,
회선사상충,Onchocerca volvulus,1,,,1,,,,,,,,,,
로아사상충,Loa loa,,,,1,,,,,,,,,,
개심장사상충,Dirofilaria immitis,,,,1,,,,,,,,,,
일본주혈흡충,Schistosoma japonicum,1,,,,1,,,,,,,,,
메콩주혈흡충,Schistosoma mekongi,1,,,,1,,,,,,,,,
만손주혈흡충,Schistosoma mansoni,1,,,,1,,,,,,,,,
방광주혈흡충,Schistosoma haematobium,1,,,,1,,,,,,,,,
장간막주혈흡충,Schistosoma intercalatum,1,,,,1,,,,,,,,,
기니주혈흡충,Schistosoma guineensis,,,,,1,,,,,,,,,
폐흡충,Paragonimus westermani,1,,,,,1,,,,,,,,
요코가와흡충,Metagonimus yokogawai,1,,,,,1,,,,,,,,
유해이형흡충,Heterophyes nocens,1,,,,,1,,,,,,,,
호르텐스극구흡충,Echinostoma hortense,1,,,,,1,,,,,,,,
서울주걱흡충,Neodiplostomum seoulense,1,,,,,1,,,,,,,,
참굴큰입흡충,Gymnophalloides seoi,1,,,,,1,,,,,,,,
간흡충,Clonorchis sinensis,1,,,,,,1,,,,,,,
타이간흡충,Opisthorchis viverrini,1,,,,,,1,,,,,,,
고양이간흡충,Opisthorchis felineus,,,,,,,1,,,,,,,
간질,Fasciola hepatica,1,,,,,,1,,,,,,,
거대간질,Fasciola gigantica,,,,,,,1,,,,,,,
유구조충,Taenia solium,1,,,,,,,1,1,,,,,
무구조충,Taenia saginata,1,,,,,,,1,,,,,,
아시아조충,Taenia asiatica,1,,,,,,,1,,,,,,
광절열두조충,Diphyllobothrium latum,1,,,,,,,1,,,,,,
만손열두조충,Spirometra erinacei,1,,,,,,,,1,,,,,
단방조충,Echinococcus granulosus,1,,,,,,,,1,,,,,
다방조충,Echinococcus multilocularis,1,,,,,,,,1,,,,,
이질아메바,Entamoeba histolytica,1,,,,,,,,,1,,,,
동형아메바,Entamoeba dispar,,,,,,,,,,1,,,,
파울러자유아메바,Naegleria fowleri,,,,,,,,,,1,,,,
쿨버트손가시아메바,Acanthamoeba culbertsoni,,,,,,,,,,1,,,,
대식가시아메바,Acanthamoeba polyphaga,1,,,,,,,,,1,,,,
카스텔란가시아메바,Acanthamoeba castellanii,,,,,,,,,,1,,,,
람블편모충,Giardia lamblia,1,,,,,,,,,1,,,,
질편모충,Trichomonas vaginalis,1,,,,,,,,,1,,,,
열대열원충,Plasmodium falciparum,1,,,,,,,,,,1,,,
삼일열원충,Plasmodium vivax,1,,,,,,,,,,1,,,
사일열원충,Plasmodium malariae,,,,,,,,,,,1,,,
난형열원충,Plasmodium ovale,,,,,,,,,,,1,,,
원숭이열원충,Plasmodium knowlesi,,,,,,,,,,,1,,,
톡소포자충,Toxoplasma gondii,1,,,,,,,,,,,1,,
작은와포자충,Cryptosporidium parvum,1,,,,,,,,,,,1,,
사람와포자충,Cryptosporidium hominis,1,,,,,,,,,,,1,,
폐포자충,Pneumocystis jirovecii,,,,,,,,,,,,1,,
열대리슈만편모충,Leishmania tropica,,,,,,,,,,,,,1,
큰리슈만편모충,Leishmania major,,,,,,,,,,,,,1,
이디오피아리슈만편모충,Leishmania aethiopica,,,,,,,,,,,,,1,
내장리슈만편모충,Leishmania donovani,1,,,,,,,,,,,,1,
소아리슈만편모충,Leishmania infantum,,,,,,,,,,,,,1,
감비아파동편모충,Trypanosoma brucei gambiense,,,,,,,,,,,,,1,
로데시아파동편모충,Trypanosoma brucei rhodesiense,,,,,,,,,,,,,1,
크루스파동편모충,Trypanosoma cruzi,1,,,,,,,,,,,,1,
옴진드기,Sarcoptes scabiei,1,,,,,,,,,,,,,1
큰다리먼지진드기,Dermatophagoides farinae,1,,,,,,,,,,,,,1
세로무늬먼지진드기,Dermatophagoides pteronyssinus,1,,,,,,,,,,,,,1
머릿니,Pediculus humanus capitis,1,,,,,,,,,,,,,1
몸니,Pediculus humanus humanus,1,,,,,,,,,,,,,1
